captured_at,season,gameweek,code,status,chance,news,price
2026-09-07T13:48:28.061Z,2026-27,4,154561,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,109745,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,437495,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,226597,a,,,8.0
2026-09-07T13:48:28.061Z,2026-27,4,445122,d,25.0,Groin injury - 25% chance of playing,6.5
2026-09-07T13:48:28.061Z,2026-27,4,462424,i,0.0,Back injury - Unknown return date,6.0
2026-09-07T13:48:28.061Z,2026-27,4,499169,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,466075,a,,,5.7
2026-09-07T13:48:28.061Z,2026-27,4,448104,a,,,5.3
2026-09-07T13:48:28.061Z,2026-27,4,198869,a,100.0,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,500040,d,75.0,Unspecified injury - 75% chance of playing,5.4
2026-09-07T13:48:28.061Z,2026-27,4,223340,a,,,9.5
2026-09-07T13:48:28.061Z,2026-27,4,204480,a,,,7.4
2026-09-07T13:48:28.061Z,2026-27,4,232413,a,,,6.4
2026-09-07T13:48:28.061Z,2026-27,4,184029,a,,,6.6
2026-09-07T13:48:28.061Z,2026-27,4,248857,a,,,6.3
2026-09-07T13:48:28.061Z,2026-27,4,195384,a,,,5.9
2026-09-07T13:48:28.061Z,2026-27,4,444145,u,0.0,Has joined Al Hilal permanently,6.3
2026-09-07T13:48:28.061Z,2026-27,4,481655,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,616077,a,,,5.3
2026-09-07T13:48:28.061Z,2026-27,4,499175,u,0.0,Has joined Borussia Dortmund on loan for the rest of the season,5.4
2026-09-07T13:48:28.061Z,2026-27,4,438098,u,0.0,Has joined Hamburger SV permanently,5.5
2026-09-07T13:48:28.061Z,2026-27,4,200641,u,0.0,has departed the club as a free agent.,5.5
2026-09-07T13:48:28.061Z,2026-27,4,224117,a,,,7.3
2026-09-07T13:48:28.061Z,2026-27,4,219847,a,,,7.5
2026-09-07T13:48:28.061Z,2026-27,4,205651,u,0.0,Has joined FC Barcelona permanently,5.9
2026-09-07T13:48:28.061Z,2026-27,4,199798,a,,,4.4
2026-09-07T13:48:28.061Z,2026-27,4,208706,a,100.0,,6.8
2026-09-07T13:48:28.061Z,2026-27,4,439509,a,,,6.5
2026-09-07T13:48:28.061Z,2026-27,4,72147,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,101188,u,0.0,Has joined Paris Saint-Germain permanently,4.5
2026-09-07T13:48:28.061Z,2026-27,4,199796,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,149484,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,244954,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,515597,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,441302,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,184667,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,606798,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,578545,u,0.0,Has joined Rangers on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,195546,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,215711,u,0.0,Has joined Olympiakos permanently,5.4
2026-09-07T13:48:28.061Z,2026-27,4,122806,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,88894,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,226944,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,449871,i,0.0,Knee injury - Unknown return date,5.0
2026-09-07T13:48:28.061Z,2026-27,4,469247,u,0.0,Has joined Bolton Wanderers on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,645618,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,577285,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,653481,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,614071,i,0.0,Knee injury - Expected back 12 Sep,5.9
2026-09-07T13:48:28.061Z,2026-27,4,448089,s,0.0,Suspended until 19 Sep,5.5
