season,GW,average,highest
2025-26,1,54,127
2025-26,2,51,140
2025-26,3,48,118
2025-26,4,63,139
2025-26,5,42,112
2025-26,6,46,124
2025-26,7,60,135
2025-26,8,56,138
2025-26,9,46,124
2025-26,10,65,135
2025-26,11,38,120
2025-26,12,39,134
2025-26,13,35,123
2025-26,14,58,138
2025-26,15,49,133
2025-26,16,60,149
2025-26,17,66,148
2025-26,18,44,118
2025-26,19,40,112
2025-26,20,42,117
2025-26,21,48,118
2025-26,22,40,111
2025-26,23,44,115
2025-26,24,55,126
2025-26,25,58,147
2025-26,26,58,138
2025-26,27,45,117
2025-26,28,53,125
2025-26,29,54,143
2025-26,30,43,110
2025-26,31,38,109
2025-26,32,46,132
2025-26,33,66,177
2025-26,34,36,114
2025-26,35,50,129
2025-26,36,65,145
2025-26,37,53,131
2025-26,38,41,117
2026-27,1,50,131
2026-27,2,81,161
2026-27,3,51,119
