season,competition,kickoff_time,home,away
2025-26,EFL,2025-08-12T18:45:00Z,Wrexham,Hull City
2025-26,UCL,2025-09-16T16:45:00Z,Athletic Club,Arsenal
2025-26,UCL,2025-09-16T19:00:00Z,Spurs,Villarreal
2025-26,UCL,2025-09-17T19:00:00Z,Bayern München,Chelsea
2025-26,UCL,2025-09-17T19:00:00Z,Liverpool,Atleti
2025-26,UCL,2025-09-18T19:00:00Z,Man City,Napoli
2025-26,UCL,2025-09-18T19:00:00Z,Newcastle,Barcelona
2025-26,UEL,2025-09-24T19:00:00Z,Real Betis,Nott'm Forest
2025-26,UEL,2025-09-25T19:00:00Z,Aston Villa,Bologna
2025-26,UCL,2025-09-30T19:00:00Z,Chelsea,Benfica
2025-26,UCL,2025-09-30T19:00:00Z,Bodø/Glimt,Spurs
2025-26,UCL,2025-09-30T19:00:00Z,Galatasaray,Liverpool
2025-26,UCL,2025-10-01T16:45:00Z,Union SG,Newcastle
2025-26,UCL,2025-10-01T19:00:00Z,Arsenal,Olympiacos
2025-26,UCL,2025-10-01T19:00:00Z,Monaco,Man City
2025-26,UECL,2025-10-02T16:45:00Z,Dynamo Kyiv,Crystal Palace
2025-26,UEL,2025-10-02T19:00:00Z,Nott'm Forest,Midtjylland
2025-26,UEL,2025-10-02T19:00:00Z,Feyenoord,Aston Villa
2025-26,UCL,2025-10-21T19:00:00Z,Arsenal,Atleti
2025-26,UCL,2025-10-21T19:00:00Z,Villarreal,Man City
2025-26,UCL,2025-10-21T19:00:00Z,Newcastle,Benfica
2025-26,UCL,2025-10-22T19:00:00Z,Frankfurt,Liverpool
2025-26,UCL,2025-10-22T19:00:00Z,Monaco,Spurs
2025-26,UCL,2025-10-22T19:00:00Z,Chelsea,Ajax
2025-26,UEL,2025-10-23T16:45:00Z,Go Ahead Eagles,Aston Villa
2025-26,UECL,2025-10-23T19:00:00Z,Crystal Palace,AEK Larnaca
2025-26,UEL,2025-10-23T19:00:00Z,Nott'm Forest,Porto
2025-26,UCL,2025-11-04T17:45:00Z,Slavia Praha,Arsenal
2025-26,UCL,2025-11-04T20:00:00Z,Liverpool,Real Madrid
2025-26,UCL,2025-11-04T20:00:00Z,Spurs,Copenhagen
2025-26,UCL,2025-11-05T17:45:00Z,Qarabag,Chelsea
2025-26,UCL,2025-11-05T20:00:00Z,Man City,B. Dortmund
2025-26,UCL,2025-11-05T20:00:00Z,Newcastle,Athletic Club
2025-26,UEL,2025-11-06T17:45:00Z,Sturm Graz,Nott'm Forest
2025-26,UECL,2025-11-06T20:00:00Z,Crystal Palace,AZ Alkmaar
